# SmartRefract Geometry - Example File
# This is an example geometry file for a 24-channel seismic spread
# Spacing: 2.0m
# Start Position: 0.0m
# Format: Channel/ShotNum,Position(m),Elevation(m),GEOPHONE/SHOT
# Note: If no elevation data available, use 0.0

# Geophones - Standard 24-channel spread with 2m spacing, no elevation data
0,0.000,0.0,GEOPHONE
1,2.000,0.0,GEOPHONE
2,4.000,0.0,GEOPHONE
3,6.000,0.0,GEOPHONE
4,8.000,0.0,GEOPHONE
5,10.000,0.0,GEOPHONE
6,12.000,0.0,GEOPHONE
7,14.000,0.0,GEOPHONE
8,16.000,0.0,GEOPHONE
9,18.000,0.0,GEOPHONE
10,20.000,0.0,GEOPHONE
11,22.000,0.0,GEOPHONE
12,24.000,0.0,GEOPHONE
13,26.000,0.0,GEOPHONE
14,28.000,0.0,GEOPHONE
15,30.000,0.0,GEOPHONE
16,32.000,0.0,GEOPHONE
17,34.000,0.0,GEOPHONE
18,36.000,0.0,GEOPHONE
19,38.000,0.0,GEOPHONE
20,40.000,0.0,GEOPHONE
21,42.000,0.0,GEOPHONE
22,44.000,0.0,GEOPHONE
23,46.000,0.0,GEOPHONE

# Shots - Three source positions (before, center, after spread)
0,shot01.dat,-5.000,0.0,Shot before spread,SHOT
1,shot02.dat,23.000,0.0,Shot at center,SHOT
2,shot03.dat,51.000,0.0,Shot after spread,SHOT
