# SmartRefract Geometry - Example File
# Simplified CSV format (numeric only, no text labels)
# Spacing: 2.0m
# Start Position: 0.0m

# Geophones: channel,position(m),elevation(m)
0,0.000,0.000
1,2.000,0.000
2,4.000,0.000
3,6.000,0.000
4,8.000,0.500
5,10.000,0.500
6,12.000,0.800
7,14.000,1.200
8,16.000,1.500
9,18.000,1.800
10,20.000,2.000
11,22.000,2.200
12,24.000,2.200
13,26.000,2.000
14,28.000,1.800
15,30.000,1.500
16,32.000,1.200
17,34.000,0.800
18,36.000,0.500
19,38.000,0.500
20,40.000,0.000
21,42.000,0.000
22,44.000,0.000
23,46.000,0.000

# Shots: filename,position(m),elevation(m)
shot01.dat,-5.000,0.000
shot02.dat,11.500,1.100
shot03.dat,23.000,2.200
shot04.dat,34.500,1.000
shot05.dat,51.000,0.000
